Entity,Code,Year,Political Participation (Vanhanen (2015))
Afghanistan,AFG,1919,0
Afghanistan,AFG,1920,0
Afghanistan,AFG,1921,0
Afghanistan,AFG,1922,0
Afghanistan,AFG,1923,0
Afghanistan,AFG,1924,0
Afghanistan,AFG,1925,0
Afghanistan,AFG,1926,0
Afghanistan,AFG,1927,0
Afghanistan,AFG,1928,0
Afghanistan,AFG,1929,0
Afghanistan,AFG,1930,0
Afghanistan,AFG,1931,0
Afghanistan,AFG,1932,0
Afghanistan,AFG,1933,0
Afghanistan,AFG,1934,0
Afghanistan,AFG,1935,0
Afghanistan,AFG,1936,0
Afghanistan,AFG,1937,0
Afghanistan,AFG,1938,0
Afghanistan,AFG,1939,0
Afghanistan,AFG,1940,0
Afghanistan,AFG,1941,0
Afghanistan,AFG,1942,0
Afghanistan,AFG,1943,0
Afghanistan,AFG,1944,0
Afghanistan,AFG,1945,0
Afghanistan,AFG,1946,0
Afghanistan,AFG,1947,0
Afghanistan,AFG,1948,0
Afghanistan,AFG,1949,0
Afghanistan,AFG,1950,0
Afghanistan,AFG,1951,0
Afghanistan,AFG,1952,0
Afghanistan,AFG,1953,0
Afghanistan,AFG,1954,0
Afghanistan,AFG,1955,0
Afghanistan,AFG,1956,0
Afghanistan,AFG,1957,0
Afghanistan,AFG,1958,0
Afghanistan,AFG,1959,0
Afghanistan,AFG,1960,0
Afghanistan,AFG,1961,0
Afghanistan,AFG,1962,0
Afghanistan,AFG,1963,0
Afghanistan,AFG,1964,0
Afghanistan,AFG,1965,1
Afghanistan,AFG,1966,1
Afghanistan,AFG,1967,1
Afghanistan,AFG,1968,1
Afghanistan,AFG,1969,4.54
Afghanistan,AFG,1970,4.54
Afghanistan,AFG,1971,4.54
Afghanistan,AFG,1972,4.54
Afghanistan,AFG,1973,0
Afghanistan,AFG,1974,0
Afghanistan,AFG,1975,0
Afghanistan,AFG,1976,0
Afghanistan,AFG,1977,0
Afghanistan,AFG,1978,0
Afghanistan,AFG,1979,0
Afghanistan,AFG,1980,0
Afghanistan,AFG,1981,0
Afghanistan,AFG,1982,0
Afghanistan,AFG,1983,0
Afghanistan,AFG,1984,0
Afghanistan,AFG,1985,0
Afghanistan,AFG,1986,0
Afghanistan,AFG,1987,0
Afghanistan,AFG,1988,0
Afghanistan,AFG,1989,0
Afghanistan,AFG,1990,0
Afghanistan,AFG,1991,0
Afghanistan,AFG,1992,0
Afghanistan,AFG,1993,0
Afghanistan,AFG,1994,0
Afghanistan,AFG,1995,0
Afghanistan,AFG,1996,0
Afghanistan,AFG,1997,0
Afghanistan,AFG,1998,0
Afghanistan,AFG,1999,0
Afghanistan,AFG,2000,0
Albania,ALB,1914,0
Albania,ALB,1915,0
Albania,ALB,1916,0
Albania,ALB,1917,0
Albania,ALB,1918,0
Albania,ALB,1919,0
Albania,ALB,1920,0
Albania,ALB,1921,0
Albania,ALB,1922,0
Albania,ALB,1923,0
Albania,ALB,1924,0
Albania,ALB,1925,0
Albania,ALB,1926,0
Albania,ALB,1927,0
Albania,ALB,1928,0
Albania,ALB,1929,0
Albania,ALB,1930,0
Albania,ALB,1931,0
Albania,ALB,1932,0
Albania,ALB,1933,0
Albania,ALB,1934,0
Albania,ALB,1935,0
Albania,ALB,1936,0
Albania,ALB,1937,0
Albania,ALB,1938,0
Albania,ALB,1944,0
Albania,ALB,1945,48.86
Albania,ALB,1946,48.86
Albania,ALB,1947,48.86
Albania,ALB,1948,48.86
Albania,ALB,1949,48.86
Albania,ALB,1950,52.26
Albania,ALB,1951,52.26
Albania,ALB,1952,52.26
Albania,ALB,1953,52.26
Albania,ALB,1954,52.38
Albania,ALB,1955,52.38
Albania,ALB,1956,52.38
Albania,ALB,1957,52.38
Albania,ALB,1958,52.19
Albania,ALB,1959,52.19
Albania,ALB,1960,52.19
Albania,ALB,1961,52.19
Albania,ALB,1962,52.04
Albania,ALB,1963,52.04
Albania,ALB,1964,52.04
Albania,ALB,1965,52.04
Albania,ALB,1966,51.21
Albania,ALB,1967,51.21
Albania,ALB,1968,51.21
Albania,ALB,1969,51.21
Albania,ALB,1970,50.56
Albania,ALB,1971,50.56
Albania,ALB,1972,50.56
Albania,ALB,1973,50.56
Albania,ALB,1974,52.68
Albania,ALB,1975,52.68
Albania,ALB,1976,52.68
Albania,ALB,1977,52.68
Albania,ALB,1978,55.03
Albania,ALB,1979,55.03
Albania,ALB,1980,55.03
Albania,ALB,1981,55.03
Albania,ALB,1982,58.5
Albania,ALB,1983,58.5
Albania,ALB,1984,58.5
Albania,ALB,1985,58.5
Albania,ALB,1986,58.5
Albania,ALB,1987,59.51
Albania,ALB,1988,59.51
Albania,ALB,1989,59.51
Albania,ALB,1990,59.51
Albania,ALB,1991,60.33
Albania,ALB,1992,54.42
Albania,ALB,1993,54.42
Albania,ALB,1994,54.42
Albania,ALB,1995,54.42
Albania,ALB,1996,50.73
Albania,ALB,1997,34.46
Albania,ALB,1998,34.46
Albania,ALB,1999,34.46
Albania,ALB,2000,34.46
Algeria,DZA,1962,48.57
Algeria,DZA,1963,51.99
Algeria,DZA,1964,51.99
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,43.44
Algeria,DZA,1977,43.44
Algeria,DZA,1978,43.44
Algeria,DZA,1979,41.37
Algeria,DZA,1980,41.37
Algeria,DZA,1981,41.37
Algeria,DZA,1982,41.37
Algeria,DZA,1983,41.37
Algeria,DZA,1984,43.46
Algeria,DZA,1985,43.46
