Entity,Code,Year,Share of Top 1% in Pre-tax national income
Argentina,ARG,1932,18.77
Argentina,ARG,1933,17.18
Argentina,ARG,1934,18.060000000000002
Argentina,ARG,1935,18.44
Argentina,ARG,1936,20.4
Argentina,ARG,1937,20.44
Argentina,ARG,1938,20.47
Argentina,ARG,1939,20.880000000000003
Argentina,ARG,1940,20.11
Argentina,ARG,1941,22.43
Argentina,ARG,1942,23.77
Argentina,ARG,1943,25.96
Argentina,ARG,1944,24.75
Argentina,ARG,1945,23.39
Argentina,ARG,1946,22.63
Argentina,ARG,1947,24.02
Argentina,ARG,1948,23.22
Argentina,ARG,1949,19.34
Argentina,ARG,1950,19.81
Argentina,ARG,1951,16.96
Argentina,ARG,1952,15.959999999999999
Argentina,ARG,1953,15.35
Argentina,ARG,1954,16.54
Argentina,ARG,1956,15.659999999999998
Argentina,ARG,1958,14.17
Argentina,ARG,1959,15.920000000000002
Argentina,ARG,1961,14.680000000000001
Argentina,ARG,1997,12.389999999999999
Argentina,ARG,1998,12.57
Argentina,ARG,1999,13.530000000000001
Argentina,ARG,2000,14.34
Argentina,ARG,2001,12.91
Argentina,ARG,2002,15.53
Argentina,ARG,2003,16.85
Argentina,ARG,2004,16.75
Australia,AUS,1921,11.63
Australia,AUS,1922,10.68
Australia,AUS,1923,11.76
Australia,AUS,1924,11.67
Australia,AUS,1925,11.31
Australia,AUS,1926,11.07
Australia,AUS,1927,11.68
Australia,AUS,1928,11.85
Australia,AUS,1929,10.67
Australia,AUS,1930,9.75
Australia,AUS,1931,9.34
Australia,AUS,1932,9.27
Australia,AUS,1933,10.32
Australia,AUS,1934,10.36
Australia,AUS,1935,10.54
Australia,AUS,1936,11.28
Australia,AUS,1937,9.83
Australia,AUS,1938,10.39
Australia,AUS,1939,10.73
Australia,AUS,1940,10.299999999999999
Australia,AUS,1941,10.780000000000001
Australia,AUS,1942,10.43
Australia,AUS,1943,10.45
Australia,AUS,1944,9.030000000000001
Australia,AUS,1945,8.44
Australia,AUS,1946,9.51
Australia,AUS,1947,10.620000000000001
Australia,AUS,1948,10.8
Australia,AUS,1949,11.26
Australia,AUS,1950,14.13
Australia,AUS,1951,9.08
Australia,AUS,1952,8.99
Australia,AUS,1953,8.709999999999999
Australia,AUS,1954,8.06
Australia,AUS,1955,7.539999999999999
Australia,AUS,1956,7.91
Australia,AUS,1957,7.04
Australia,AUS,1958,7.4399999999999995
Australia,AUS,1959,6.93
Australia,AUS,1960,6.67
Australia,AUS,1961,6.69
Australia,AUS,1962,6.800000000000001
Australia,AUS,1963,6.950000000000001
Australia,AUS,1964,6.47
Australia,AUS,1965,6.329999999999999
Australia,AUS,1966,6.140000000000001
Australia,AUS,1967,6.23
Australia,AUS,1968,6.03
Australia,AUS,1969,5.91
Australia,AUS,1970,5.57
Australia,AUS,1971,5.57
Australia,AUS,1972,5.7299999999999995
Australia,AUS,1973,5.4
Australia,AUS,1974,4.97
Australia,AUS,1975,4.89
Australia,AUS,1976,4.75
Australia,AUS,1977,4.7
Australia,AUS,1978,4.65
Australia,AUS,1979,4.61
Australia,AUS,1980,4.569999999999999
Australia,AUS,1981,4.41
Australia,AUS,1982,4.4799999999999995
Australia,AUS,1983,4.49
Australia,AUS,1984,4.54
Australia,AUS,1985,4.81
Australia,AUS,1986,5.19
Australia,AUS,1987,6.03
Australia,AUS,1988,7.03
Australia,AUS,1989,5.8999999999999995
Australia,AUS,1990,5.6899999999999995
Australia,AUS,1991,5.86
Australia,AUS,1992,5.9799999999999995
Australia,AUS,1993,6.22
Australia,AUS,1994,6.460000000000001
Australia,AUS,1995,6.4
Australia,AUS,1996,6.4399999999999995
Australia,AUS,1997,6.88
Australia,AUS,1998,7.03
Australia,AUS,1999,7.870000000000001
Australia,AUS,2000,8.19
Australia,AUS,2001,7.57
Australia,AUS,2002,7.89
Australia,AUS,2003,8.09
Australia,AUS,2004,8.39
Australia,AUS,2005,8.690000000000001
Australia,AUS,2006,9.5
Australia,AUS,2007,9.09
Australia,AUS,2008,8.08
Australia,AUS,2009,8.4
Australia,AUS,2010,8.59
Australia,AUS,2011,8.24
Australia,AUS,2012,8.540000000000001
Australia,AUS,2013,9.07
Australia,AUS,2014,9.1
Bahrain,BHR,1995,18.890367899999998
Bahrain,BHR,2005,17.9598069
Bahrain,BHR,2015,18.2357816
Brazil,BRA,2001,26.210782799999997
Brazil,BRA,2002,27.4151298
Brazil,BRA,2003,27.199134400000002
Brazil,BRA,2004,27.3154361
Brazil,BRA,2005,27.904295899999997
Brazil,BRA,2006,28.2252138
Brazil,BRA,2007,28.2933815
Brazil,BRA,2008,29.285573999999997
Brazil,BRA,2009,27.4428243
Brazil,BRA,2010,28.190199999999997
Brazil,BRA,2011,29.6147885
Brazil,BRA,2012,27.7312293
Brazil,BRA,2013,27.6511795
Brazil,BRA,2014,27.521790000000003
Brazil,BRA,2015,28.349236
Canada,CAN,1920,14.402999999999999
Canada,CAN,1921,17.602
Canada,CAN,1922,15.168999999999999
Canada,CAN,1923,14.384
Canada,CAN,1924,14.533999999999999
Canada,CAN,1925,13.175999999999998
Canada,CAN,1926,14.011000000000001
Canada,CAN,1927,14.691
Canada,CAN,1928,15.315000000000001
Canada,CAN,1929,15.642
Canada,CAN,1930,16.102
Canada,CAN,1931,16.603
Canada,CAN,1932,17.669999999999998
Canada,CAN,1933,18.032999999999998
Canada,CAN,1934,17.504
Canada,CAN,1935,16.987
Canada,CAN,1936,17.448
Canada,CAN,1937,16.256999999999998
Canada,CAN,1938,18.404999999999998
Canada,CAN,1939,16.883
Canada,CAN,1940,14.706
Canada,CAN,1941,13.297
Canada,CAN,1942,11.297
Canada,CAN,1943,10.718
Canada,CAN,1944,10.009
Canada,CAN,1945,10.120999999999999
Canada,CAN,1946,10.724
Canada,CAN,1947,10.993
Canada,CAN,1948,10.39
Canada,CAN,1949,10.685
Canada,CAN,1950,10.878
Canada,CAN,1951,10.032
Canada,CAN,1952,9.844999999999999
Canada,CAN,1953,9.876
Canada,CAN,1954,10.331
Canada,CAN,1955,10.189
Canada,CAN,1956,9.625
Canada,CAN,1957,9.639000000000001
Canada,CAN,1958,9.889000000000001
Canada,CAN,1959,9.735000000000001
Canada,CAN,1960,9.768
Canada,CAN,1961,9.926
Canada,CAN,1962,9.371
Canada,CAN,1963,9.142
Canada,CAN,1964,9.382
Canada,CAN,1965,9.200999999999999
Canada,CAN,1966,8.908000000000001
Canada,CAN,1967,8.997
Canada,CAN,1968,9.035
Canada,CAN,1969,9.008
Canada,CAN,1970,8.969000000000001
Canada,CAN,1971,8.866
Canada,CAN,1972,8.916
Canada,CAN,1973,8.982
Canada,CAN,1974,8.967
Canada,CAN,1975,8.911
Canada,CAN,1976,8.288
Canada,CAN,1977,8.011
Canada,CAN,1978,8.100999999999999
Canada,CAN,1979,8.457
Canada,CAN,1980,8.884
Canada,CAN,1981,8.546
Canada,CAN,1982,8.892
Canada,CAN,1983,8.762
Canada,CAN,1984,8.727
Canada,CAN,1985,8.88
Canada,CAN,1986,9.153
Canada,CAN,1987,9.879999999999999
Canada,CAN,1988,10.741
Canada,CAN,1989,11.903
Canada,CAN,1990,10.181999999999999
Canada,CAN,1991,10.288
Canada,CAN,1992,10.47
Canada,CAN,1993,11.2879379
Canada,CAN,1994,11.3878746
Canada,CAN,1995,10.8972157
Canada,CAN,1996,11.5042975
Canada,CAN,1997,12.4583395
Canada,CAN,1998,12.992340299999999
